Nombre,Ingredientes,Pasos,Duracion,Categoria
empanadas catamarquenas,"['500 gramos de roast beef', '1 cebolla grande', '¼ morrón', '2 ramas de cebolla de verdeo', '1 huevo', '1 papa grande', '1 cucharada postre de comino', '½ cucharada postre de ají molido', '12 discos de empanada']","['1 Para empezar con la preparación de las empanadas catamarqueñas, corta el roast beef en cubos pequeños, aproximadamente del tamaño de la carne picada. Puedes retirar un poco de la grasa visible para que sea más agradable al comerlas.', '2 Calienta una sartén amplia al fuego máximo con una cucharada de aceite. También puedes usar grasa para aportar mayor sabor. Agrega la carne y no la muevas sino hasta que se dore. Lueg, gírala y dora todas sus caras.', '3 Mientras, cepilla la papa y cocínala en abundante agua hasta que, al pincharla, se caiga del tenedor o cuchillo. De esta forma, quedará más cremosa para el relleno de tus empanadas catamarqueñas.', '4 También prepara las verduras. Para ello, pela y pica la cebolla blanca. Lava y pica la cebolla de verdeo, reservando por un lado la parte blanca y, por otra la verde. También lava y pica el morrón, retirando las nervaduras blancas y semillas.', '5 Cuando la carne esté dorada, retírala de la sartén y, en el mismo fondo de cocción, saltea la cebolla blanca, el morrón y la parte blanca de la cebolla de verdeo. Puedes agregar una cucharada extra de aceite o grasa. Cuando la cebolla transparente, baja el fuego a medio, agrega la carne dorada y continúa salteando hasta que estén bien cocidas. Puedes continuar agregando materia grasa o agua si el salteado se está secando.', '6 Mientras, cocina el huevo en una olla a fuego máximo con abundante agua fría por 12 minutos. Pasado ese tiempo, pélalo con cuidado de no quemarte y pícalo.', '7 Mezcla las verduras salteadas con la carne dorada, la parte verde de la cebolla de verdeo, la papa cocida, pelada y cortada en cubos y el huevo picado. Condimenta al gusto con comino y ají molido. Puedes agregar aceitunas o pasas de uva hidratadas en este paso. Deja enfriar tu relleno hasta 1 hora fuera de la heladera.', '8 Cuando el relleno esté frío, agrega una cucharada en el centro del disco de empanada humedeciendo previamente el borde de la masa. Pega los bordes opuestos y haz el repulgue clásico, retirando bien el aire dentro de la empanada para evitar que exploten en el horno. Continúa rellenando hasta usarlo todo.', '9 Dispón las empanadas catamarqueñas en una asadera para horno con pan rallado en su base y el repulgue hacia arriba, esto hará que no se peguen y se doren parejas. Puedes pintarlas con huevo antes de cocinarlas en el horno precalentado a 200-220 ºC por unos 20 minutos o hasta que estén doradas.', '10 Sirve tus empanadas catamarqueñas. ¡A comer! Cuéntanos si las pruebas y comparte la foto del resultado final.']",1h 30m,['Recetas al horno']
empanadas santiaguenas,"['12 discos de empanada', '500 gramos de roast beef', '1 cebolla', '½ morrón', '1 cucharada sopera de pimentón dulce', '1 cucharada postre de comino', '1 cucharada postre de ají molido', '1 papa grande', '30 gramos de manteca (para pintar)']","['1 Para empezar con la preparación de las empanadas santiagueñas, retira un poco de la grasa visible de la carne para hervirla en agua por unos 30-40 minutos. Puedes condimentar el agua con laurel, caldo de verduras casero, zanahoria, verdeo o lo que desees para sumar sabor.', '2 Mientras, pela y pica la cebolla para saltearla con una cucharada de aceite. Cuando transparente, baja el fuego a medio y agrega una cucharadita de sal, si deseas hacerlas con este condimento.', '3 Por otro lado, lava y pica el morrón, retirando las semillas y las nervaduras blancas. Añade al salteado de cebolla y continúa salteando las verduras hasta que estén tiernas. Si el salteado se está secando, puedes añadir más aceite o agua para hacerlo más saludable.', '4 Pasado el tiempo de cocción de la carne, retírala del agua y pícala. Añade al salteado y cocínala unos 20 minutos más. Agrega agua o caldo de cocción siempre que sea necesario para que quede bien húmedo.', '5 Cocina la papa entera con su cáscara limpia en una olla con abundante agua hirviendo hasta que, al pincharla, se caiga del cuchillo. Retírala, pélala y córtala en cubos. Mézclala con el salteado de carne, el comino, pimentón y ají molido. Prueba el relleno de tus empandas salteñas y, si te gusta, déjalo enfriar. Puedes incluso guardarlo hasta el día siguiente para que tome más sabor.', '6 Comienza a rellenar las empandas. Para ello, humedece la mitad del borde del disco de masa y agrega una cucharada abundante de la carne en el centro. Une los bordes opuestos y haz el repulgue clásico de las empanadas de carne argentinas.', '7 Cubre la base de una asadera apta para horno con pan rallado y acomoda las empanadas con el repulgue hacia arriba. Píntalas con la manteca derretida y cocínalas en el horno precalentado a 200-220 ºC por unos 20 minutos o hasta que estén doradas.', '8 Sirve las empanadas santiagueñas. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",1h 30m,"['Recetas al horno', 'Recetas argentinas']"
empanadas riojanas,"['500 gramos de bifes de nalga, cuadrada o bola de loma', '1 cebolla grande', '1 cebolla de verdeo', '1 diente de ajo', '½ pimiento rojo', '1 papa', '1 huevo duro', 'aceitunas picadas a gusto', 'pasas de uva a gusto', '12 discos para empanadas', '2 cucharadas soperas de grasa de pella', 'sal, pimienta, pimentón dulce, comino y tomillo a gusto']","['1 Pela y pica el ajo y la cebolla. También lava y pica el pimiento y, por último, lava y pica el bulbo de la cebolla de verdeo. Reserva las hojas verdes para agregar en el último momento crudas.', '2 Posteriormente, corta los bifecitos de carne en tiritas o cubos pequeños.', '3 A continuación, pon a calentar una olla o sartén con una cucharada de grasa de pella. Cuando se derrita y tome temperatura, saltea allí la carne. Te recomendamos ir haciéndolo por tandas para que la carne no desprenda todo su jugo y quede hervida. Truco: evita sobrecocinar la carne para que no se seque y aporte jugosidad a la preparación.', '4 Cuando hayas terminado con la carne, resérvala en otro recipiente y coloca la otra cucharada de grasa en la sartén. Saltea allí el ajo, la cebolla y el pimiento.', '5 Cuando haya dorado, agrega la cebolla de verdeo y saltea un par de minutos más.', '6 Apaga el fuego, incorpora la carne y los condimentos. Revuelve bien para integrar y deja enfriar.', '7 Mientras tanto, cocina la papa. Lávala bien y hiérvela con la cáscara para que no absorba tanta agua. Cuando esté cocida, deja enfriar, retira la piel y corta en cubos pequeños.', '8 A continuación, pica el huevo duro y las hojas de la cebolla de verdeo.', '9 Incorpora al relleno la papa, el huevo duro, las hojas de verdeo, las aceitunas y las pasas de uva. Revuelve bien para que todo quede integrado de forma homogénea.', '10 Unta con aceite una asadera y enciende el horno para precalentarlo a 200 °C.Luego, comienza a armar las empanadas colocando una cucharada generosa de relleno en cada disco de empanada. Une los bordes, realiza el repulgue y apoya sobre la asadera aceitada. Truco: con estas cantidades obtendrás 12 unidades.', '11 Lleva la asadera con empanadas al horno y aproximadamente cocina durante 20 minutos o hasta que estén doradas.', '12 Las empanadas riojanas están listas. Retira la asadera del horno y asegúrate de tener un plato o servilleta a mano, ya que en cuanto las muerdas, chorrearán su característico jugo. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",1h 30m,"['Receta sin lactosa', 'Receta sin azúcar', 'Recetas al horno', 'Recetas argentinas', 'Recetas riojanas']"
empanadas jujenas,"['500 gramos de carne picada o molida', '1 cebolla grande', '1 cebolla de verdeo', '1 papa', '100 gramos de arvejas cocidas', '1 huevo duro', '12 discos de masa para empanadas', 'sal, pimienta, comino, tomillo a gusto']","['1 Como primer paso, pela y pica en cubos la cebolla. También lava muy bien y pica la cebolla de verdeo, reservando por separado las hojas, que incorporaremos crudas en el último momento.', '2 Lleva al fuego un recipiente con una cucharada de aceite. Cuando se caliente, cocina allí la cebolla junto con la cebolla de verdeo hasta que tome color dorado.', '3 Incorpora la carne picada y remueve para asegurarte que se cocine toda y no solo por partes. Truco: puedes usar carne cortada a cuchillo en lugar de carne picada. En ese caso, cocina vuelta y vuelta bifecitos de bola de loma, cuadrada o nalga y luego córtalos en cubitos.', '4 Mientras tanto, lava y pela la papa. Córtala en pequeños cubos y hierve en un recipiente con abundante agua y sal al gusto. Vigila el punto de cocción para que queden tiernas, pero no sobre cocidas, para sentir su textura dentro de la empanada. Luego, cuela y reserva. Truco: puedes ir agregando el caldo de cocción por cucharaditas, a la sartén con la cebolla y la carne mientras se cocinan. De esta manera el relleno quedará más jugosa y con más sabor.', '5 A continuación, incorpora los condimentos. En este caso, utilizamos pimentón dulce, pimienta, comino y tomillo. Revuelve bien.', '6 Cuando termine la cocción, apaga el fuego y añade la papa, el huevo duro picado, las hojas de la cebolla de verdeo y las arvejas cocidas coladas. Integra todos los ingredientes. Luego, deja reposar para que se enfríe y tome más sabor. Si puedes prepararlo de un día para otro, mucho mejor. Truco: si no vas a hacer las empanadas al momento, guarda el relleno en la heladera para una buena conservación.', '7 Enciende el horno para precalentar a 200 °C y comienza a armar las empanadas. Coloca una cucharada de relleno en cada disco. Luego, humedece los bordes de la masa, une y realiza el repulgue.', '8 Distribuye las empanadas jujeñas en una asadera aceitada, pinta con huevo batido y cocina en horno a 200 °C por alrededor 20 minutos o hasta que estén doradas. Truco: también pueden cocinarse fritas en grasa o aceite durante 3 minutos.', '9 Cuando estén cocidas, retira la asadera del horno y comienza a disfrutar de estas típicas empanadas de carne jujeñas. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",1h 30m,"['Receta sin lactosa', 'Receta sin azúcar', 'Recetas al horno', 'Recetas argentinas']"
picadillo para empanadas,"['500 gramos de carne picada o molida', '1 cebolla grande', '1 pimiento rojo', '1 cebolla de verdeo', '1 diente de ajo', '1 huevo', '1 puñado de aceitunas', '1 cucharada sopera de extracto de tomate', 'sal, pimienta, comino, pimentón, ají molido a gusto']","['1 Prepara los ingredientes. Pela y corta la cebolla, pela y pica el ajo. Lava el pimiento, retira las semillas y córtalo en cubitos. Reserva.', '2 También lava y corta las hojas de la cebolla de verdeo. Reserva por separado.', '3 Finalmente, llena una olla con agua fría y coloca allí el huevo y lleva al fuego. Cuando hierva, cuenta 11-12 minutos, retira y lleva bajo un chorro de agua fría para cortar la cocción. Luego, pela, pica y reserva.', '4 Ahora comienza con la cocción. Coloca 1 cucharada sopera de aceite en una sartén y dora la cebolla junto con el ajo.', '5 Incorpora el pimiento y deja cocinar unos minutos más.', '6 Agrega la carne picada. Debes asegurarte que la sartén está bien caliente para sellar la carne y que no suelte todo el jugo. De esta manera las empanadas quedarán más jugosas. Remueve cada tanto para desgranar bien la carne y que se cocine correctamente.', '7 Incorpora el extracto de tomate y remueve. Condimenta con sal, pimienta, comino, ají molido, pimentón y tomillo. Revuelve bien para integrar todos los sabores.', '8 Apaga el fuego y añade las hojas de la cebolla de verdeo, el huevo y las aceitunas. Revuelve.', '9 El relleno para empanadas de carne está listo. Puedes usarlo así o darle tu toque personal antes de comenzar a armar las empanadas. Cuéntanos en comentarios qué te pareció esta receta y comparte tus fotografías.']",30m,"['Receta sin lactosa', 'Receta sin azúcar', 'Recetas argentinas']"
empanadas mendocinas,"['18 tapas de empanada', '1 kilogramo de carne picada', '1 kilogramo de cebolla', '1 cucharada sopera de orégano', '1 cucharada postre de comino', '1 cucharada postre de ají molido', '1 cucharada sopera de pimentón', '2 huevos', '10 aceitunas', '1 hoja de laurel']","['1 Pela y pica la cebolla. La clave es usar aproximadamente la misma cantidad de cebolla que de carne, para que las empanadas queden bien húmedas. Saltéala con una cucharada de aceite o con grasa, hasta que esté transparente.', '2 Cuando la cebolla esté transparente, retírala del fuego y resérvala. En el mismo fondo de cocción, saltea la carne. Puedes añadir aquí los condimentos para que la carne vaya tomando sabor. Mantén el fuego alto para que la carne se dore. Cuando haya cambiado por completo el color a marrón, apaga el fuego. No es importante que esté cocida del todo, ya que se terminará de cocinar en el horno, pero al menos que cambie de color. Truco: si no quieres usar carne picada, puedes usar nalga o bola de lomo cortada a cuchillo.', '3 Mientras, cocina los huevos en abundante por unos 12 minutos. Cuando haya pasado el tiempo, reserva hasta que se enfríen un poco para poder pelarlos sin quemarte. Pícalos.', '4 Mezcla la carne con la cebolla y agrega las aceitunas picadas. Si no habías agregado los condimentos durante la cocción de la carne, añade los condimentos en este paso.', '5 Agrega el huevo picado y reserva el relleno de empanada en la heladera para que esté bien frío a la hora de rellenar tus empanadas de carne tradicional. Truco: si tienes tiempo, recomendamos que lo guardes una noche para que tome más sabor.', '6 Humedece el borde de cada disco de empanada argentina y agrega una buena cucharada de relleno en el centro. Cierra y haz el clásico repulgue de las empanadas originales.', '7 Dispón tus empanadas mendocinas en una asadera apta para horno, cubierta con pan rallado en la base. A continuación, enciende el horno para que se pre caliente a 200-220 ºC, es decir, a temperatura máxima de los hornos caseros. Cuando haya alcanzado la temperatura, cocínalas por unos 20 minutos hasta que estén doradas.', '8 ¡A comer las exquisitas empanadas mendocinas! Cuéntanos si las pruebas y comparte la fotografía del resultado final.']",45m,"['Recetas al horno', 'Recetas argentinas']"
empanadas cordobesas,"['500 gramos de carne picada', '1 papa', '500 gramos de cebolla', '½ morrón rojo', '2 huevos', '20 aceitunas', '½ cucharada postre de comino', '3 ramas de cebolla de verdeo', '1 pizca de nuez moscada', '1 cucharada postre de pimentón', '1 pizca de pimienta', '12 discos de empanada', '2 papas']","['1 El primer paso para hacer las empanadas cordobesas consiste en lavar bien la piel de las papas para cocinarlas en abundante agua por unos 20 minutos hasta que, al pincharlas, se sientan tiernas, pero todavía se sujeten del tenedor.', '2 Mientras, lava y pica la cebolla de verdeo, separando por un lado la parte blanca de la verde.', '3 También pela y pica la cebolla blanca para saltearla en una sartén a fuego máximo con 1 cucharada de aceite.', '4 Cuando transparente, añade la parte blanca de la cebolla de verdeo y el morrón limpio, sin semillas ni nervaduras y picado del mismo tamaño que la cebolla. Baja el fuego a medio y, si se seca el salteado, añade 1 cucharada de agua caliente. Repite tantas veces como sea necesario hasta que las verduras estén bien cocidas.', '5 Cuando las verduras estén cocidas, retíralas y resérvalas. En el mismo fondo de cocción, agrega la carne con el fuego bien alto. Puedes saltearla en tandas para que no se hierva y se dore, que es lo que buscamos en este paso.', '6 Mientras, pela y corta en cubos pequeños las papas cocidas ya frías para mezclarlas con la parte verde de la cebolla de verdeo, las aceitunas en rodajas y las verduras salteadas. Condimenta al gusto con el comino, nuez moscada, pimentón y pimienta.', '7 Cocina los huevos por 12 minutos desde agua fría. Pasado ese tiempo, pélalos con cuidado de no quemarte, pícalos y mézclalos con la preparación anterior y la carne salteada.', '8 Cuando el relleno esté bien frío, arma las empandas humedeciendo uno de los bordes con la yema de los dedos. Comienza a cerrarlas de un lado al otro, retirando el aire que pueda quedar dentro para que no se exploten durante la cocción. Truco: si puedes dejar el relleno enfriándose de un día para otro, el mismo tomará mucho más sabor.', '9 Haz el clásico repulgue y disponlas en una asadera cubierta con pan rallado con el cierre hacia arriba. Cuando tengas todas tus empandas cordobesas listas, cocínalas en el horno precalentado a 200-220 ºC por unos 20 minutos, hasta que estén bien doradas.', '10 ¡A comer las deliciosas empanadas criollas! Cuéntanos si las pruebas y comparte la foto del resultado final.']",1h 30m,"['Recetas al horno', 'Recetas argentinas']"
empanadas  quesos,"['100 gramos de queso mozzarella', '100 gramos de queso cremoso', '30 gramos de queso rallado', '50 gramos de queso azul', '1 cucharada sopera de orégano', '6 tapas de empanada', '1 cucharada sopera de harina']","['1 Para empezar con la preparación de las empanadas 4 quesos, corta el queso mozzarella, el queso cremoso y el queso azul en cubos. Puedes agregar más o menos de cada variedad de acuerdo a tu gusto. También puedes reemplazar el queso cremoso por uno semiduro, como el gouda. Recomendamos no eliminar el queso mozzarella o reemplazarlo por queso fresco, ya que se derrite demasiado.', '2 Por otro lado, ralla el queso parmesano. Puedes usar otros quesos duros como el reggianito. Este queso le dará un sabor picante a la empanada, aportando la parte más intensa, como el queso azul.', '3 Mezcla en un recipiente los quesos en cubos con el queso rallado. Agrega el orégano y la cucharada de harina. Este ingrediente absorberá la humedad de los quesos, haciendo que no generen demasiado vapor durante la cocción y, entonces, abra la empanda, perdiendo el relleno. Es un consejo fundamental para disfrutar de unas empanadas 4 quesos perfectas.', '4 Rellena cada disco de empanada, humedeciendo ligeramente el borde de uno de sus lados. No agregues demasiado relleno o esto también hará que las empanadas se exploten durante su cocción. Ciérralas llevando el aire de un lado al otro y asegúrate de que no quede nada dentro. Ciérralas uniendo las dos puntas hacia adelante.', '5 Ubica tus empanadas quesos al horno en una asadera previamente engrasada. Cocínalas en el horno pre calentado a temperatura máxima, es decir, a 200-220 ºC por unos 20 minutos o hasta que estén doradas. Asegúrate que el horno haya alcanzado la temperatura antes de cocinarlas y no abras el horno sino hasta que falte poco para su cocción total, ya que el contraste de temperatura también puede explotarlas.', '6 ¡A comer! Cuéntanos si las pruebas y comparte la foto del resultado final.']",30m,"['Recomendada para vegetarianos', 'Recetas al horno']"
tarta de zapallitos y pollo,"['1 pata y muslo de pollo', '1 huevo', '2 zapallitos', '1 cebolla', '1 masa de tarta', '2 cucharadas soperas de pan rallado', '1 cucharada postre de tomillo', '1 cucharada postre de nuez moscada', '1 pizca de pimienta']","['1 Para empezar con la preparación de la tarta de zapallitos y pollo, dora el pollo sin la piel en una sartén a fuego máximo con 1 cucharadita de aceite. Una vez dorado de un lado, gíralo.', '2 Cuando esté dorado de ambos lados, agrega una taza de agua o caldo casero y baja el fuego a medio. Tapa tu pata muslo y cocínala por unos 10 minutos. Ten en cuenta que no buscamos que se cocine por completo ya que terminará de hacerlo en el horno.', '3 Pasados los 10 minutos de cocción, retira la pata y muslo para desmenuzarla con ayuda de dos tenedores. Reserva también el líquido de cocción.', '4 Pela y pica la cebolla para saltearla en el fondo de cocción del pollo. Hazlo a fuego máximo y bájalo al medio cuando transparente. Si el salteado necesita más líquido, puedes añadir el fondo de cocción del pollo o más agua/caldo.', '5 Cuando la cebolla esté bien blandita, retírala y saltea, por último, los zapallitos. Deben estar previamente lavados y cortados en cubos del tamaño que desees. Saltéalos a fuego alto para que se doren y no larguen mucho líquido. No los muevas sino hasta que cada cara del cubo esté bien dorada.', '6 Es momento de mezclar la cebolla, con los zapallitos y el pollo demenuzado. Si no estaba del todo cocido, no pruebes tu relleno. Condiméntalo al gusto con tomillo, nuez moscada y pimienta.', '7 Agrega el huevo para unir todos los ingredientes, una vez que estén bien fríos. Reserva el relleno de tu tarta de zapallitos y pollo.', '8 Engrasa el molde donde deseas cocinar tu tarta de zapallitos fácil y rápida y fórralo con la masa. Puedes hacerla casera para que esta tarta sea más saludable, encuentra la receta en nuestra web. Cubre la base con pan rallado para que absorba la humedad del relleno. En este caso, es un molde de 20 centímetros de diámetro.', '9 Vuelca el relleno de zapallitos y pollo sobre la masa y cocina tu tarta de zapallo verde por unos 30 minutos en el horno precalentado a 200-220 ºC.', '10 Reserva hasta que tu tarta de zapallitos verde y pollo se entibie un poco para desmolarla. ¡A comer! Cuéntanos si lo pruebas y comparte la foto del resultado final.']",1h 30m,"['Receta sin sal', 'Recetas al horno']"
empanadas de vacio y provolone,"['1 kilogramo de vacío', '2 pimientos', '250 gramos de queso provolone', '12 discos de empanadas', '1 huevo para pintar']","['1 En primer lugar, cocinaremos la carne. En este caso, lo hicimos a la parrilla, pero puedes hacerla al horno o a la cacerola. Con cualquiera de los métodos que elijas, es importante que hagas una cocción lenta y que no se seque para que las empanadas queden jugosas.', '2 También cocina los pimientos en la parrilla o envueltos en papel aluminio directo sobre las brasas. Una vez listos, retira las semillas y córtalos en cuadraditos.', '3 Cuando la carne esté cocida, córtala en cubos pequeños.', '4 Mezcla el vacío cortado a cuchillo, junto con el pimiento y el queso provolone cortado en cubos y deja enfriar la preparación.', '5 Enciende el horno para precalentarlo a 200°C. También espolvorea una asadera con pan rallado.', '6 A continuación, comienza a armar las empanadas de vacío y provolone de la siguiente manera: coloca una cucharada sopera de relleno en el centro de un disco de empanada. Luego, agrega cubitos de queso provolone. Humedece el borde de la masa, une y cierra con repulgue. Repite con todos los discos de masa.', '7 Distribuye las empanadas ya armadas sobre la asadera, píntalas con huevo batido y cocina en horno precalentado a 200°C por 15 minutos, hasta que estén doradas.', '8 Las empanadas de vacío y provolone están listas. No te resistas a la tentación de degustar ahora mismo esta exquisita combinación de sabores. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",2h 30m,"['Receta sin lactosa', 'Receta sin azúcar', 'Recetas al horno', 'Recetas argentinas']"
